step,turn,player_hp_before,player_block_before,enemy_hp_before,enemy_block_before,enemy_strength_before,enemy_attack_intent,enemy_block_intent,enemy_strength_intent,enemy_vulnerable_before,energy_before,hand_strike,hand_defend,hand_bash,enemy_move,action,action_name,damage_before_block,blocked_damage,damage_dealt,damage_taken,enemy_block_gained,enemy_strength_gained,enemy_block_after,enemy_strength_after,enemy_vulnerable_after,player_hp_after,enemy_hp_after,reward,total_reward_after,done,win,next_state
0,1,80,0,46,0,0,12,0,0,0,3,3,1,1,Nibbit Turn 1: Attack 12,2,Bash,8,0,8,0,0,0,0,0,2,80,38,7.95,7.95,False,False,"[80, 38, 12, 0, 0, 0, 0, 2, 1, 3, 1, 0, 1, 3, 0, 0, 0, 1]"
1,1,80,0,38,0,0,12,0,0,2,1,3,1,0,Nibbit Turn 1: Attack 12,0,Strike,9,0,9,0,0,0,0,0,2,80,29,8.95,16.9,False,False,"[80, 29, 12, 0, 0, 0, 0, 2, 0, 2, 1, 0, 1, 3, 0, 1, 0, 1]"
2,1,80,0,29,0,0,12,0,0,2,0,2,1,0,Nibbit Turn 1: Attack 12,3,End Turn,0,0,0,12,0,0,0,0,1,68,29,-12.05,4.85,False,False,"[68, 29, 6, 5, 0, 0, 0, 1, 3, 2, 3, 0, 2, 1, 1, 0, 0, 0]"
3,2,68,0,29,0,0,6,5,0,1,3,2,3,0,Nibbit Turn 2: Attack 6 + Block 5,0,Strike,9,0,9,0,0,0,0,0,1,68,20,8.95,13.8,False,False,"[68, 20, 6, 5, 0, 0, 0, 1, 2, 1, 3, 0, 2, 1, 1, 1, 0, 0]"
4,2,68,0,20,0,0,6,5,0,1,2,1,3,0,Nibbit Turn 2: Attack 6 + Block 5,0,Strike,9,0,9,0,0,0,0,0,1,68,11,8.95,22.75,False,False,"[68, 11, 6, 5, 0, 0, 0, 1, 1, 0, 3, 0, 2, 1, 1, 2, 0, 0]"
5,2,68,0,11,0,0,6,5,0,1,1,0,3,0,Nibbit Turn 2: Attack 6 + Block 5,1,Defend,0,0,0,0,0,0,0,0,1,68,11,-0.05,22.7,False,False,"[68, 11, 6, 5, 0, 0, 0, 1, 0, 0, 2, 0, 2, 1, 1, 2, 1, 0]"
6,2,68,5,11,0,0,6,5,0,1,0,0,2,0,Nibbit Turn 2: Attack 6 + Block 5,3,End Turn,0,0,0,1,5,0,5,0,0,67,11,-1.05,21.65,False,False,"[67, 11, 0, 0, 2, 5, 0, 0, 3, 3, 1, 1, 1, 3, 0, 0, 0, 0]"
7,3,67,0,11,5,0,0,0,2,0,3,3,1,1,Nibbit Turn 3: Gain Strength 2,2,Bash,8,5,3,0,0,0,0,0,2,67,8,2.95,24.6,False,False,"[67, 8, 0, 0, 2, 0, 0, 2, 1, 3, 1, 0, 1, 3, 0, 0, 0, 1]"
8,3,67,0,8,0,0,0,0,2,2,1,3,1,0,Nibbit Turn 3: Gain Strength 2,0,Strike,9,0,9,0,0,0,0,0,2,67,0,108.95,133.55,True,True,"[67, 0, 0, 0, 2, 0, 0, 2, 0, 2, 1, 0, 1, 3, 0, 1, 0, 1]"
