agent,mean_remaining_hp,mean_reward,mean_steps,mean_turns,mean_win,std_remaining_hp,std_reward,std_steps,std_turns,std_win
Random,19.364999771118164,-4.400250434875488,23.204999923706055,10.244999885559082,0.5899999737739563,21.480663299560547,127.4362564086914,6.439745903015137,2.823977470397949,0.49306753277778625
Q-Learning,65.45500183105469,135.23651123046875,11.970000267028809,3.890000104904175,1.0,3.8707737922668457,4.140447616577148,2.0858702659606934,0.7144593596458435,0.0
DQN,65.1050033569336,134.1192626953125,9.414999961853027,3.2950000762939453,1.0,2.701939582824707,4.015605926513672,1.360895037651062,0.47866547107696533,0.0
