agent,mean_remaining_hp,mean_reward,mean_steps,mean_turns,mean_win,std_remaining_hp,std_reward,std_steps,std_turns,std_win
Random,10.545000076293945,-28.500751495361328,21.815000534057617,9.484999656677246,0.4449999928474426,14.809271812438965,124.68570709228516,5.0056023597717285,1.9898674488067627,0.49821287393569946
Q-Learning,49.540000915527344,135.23025512695312,11.095000267028809,3.6500000953674316,1.0,2.669086217880249,2.9219260215759277,1.7639538049697876,0.5281046032905579,0.0
DQN,50.724998474121094,140.0290069580078,10.520000457763672,3.6500000953674316,1.0,4.5301194190979,4.187952041625977,1.610143780708313,0.5375357866287231,0.0
