agent,mean_remaining_hp,mean_reward,mean_steps,mean_turns,mean_win,std_remaining_hp,std_reward,std_steps,std_turns,std_win
Random,10.824999809265137,-25.764249801635742,21.985000610351562,9.53499984741211,0.4650000035762787,14.449856758117676,124.47674560546875,4.971756935119629,1.9202110767364502,0.5000250935554504
Q-Learning,48.959999084472656,134.23199462890625,10.760000228881836,3.5799999237060547,1.0,3.4478747844696045,3.9415786266326904,1.8761662244796753,0.6209087371826172,0.0
DQN,51.025001525878906,135.52700805664062,9.960000038146973,3.559999942779541,1.0,4.775815963745117,5.8000688552856445,1.7788256406784058,0.5365064740180969,0.0
