step,turn,player_hp_before,player_block_before,enemy_hp_before,enemy_block_before,enemy_strength_before,enemy_attack_intent,enemy_block_intent,enemy_strength_intent,enemy_vulnerable_before,energy_before,hand_strike,hand_defend,hand_bash,enemy_move,action,action_name,damage_before_block,blocked_damage,damage_dealt,damage_taken,enemy_block_gained,enemy_strength_gained,enemy_block_after,enemy_strength_after,enemy_vulnerable_after,player_hp_after,enemy_hp_after,reward,total_reward_after,done,win,next_state
0,1,64,0,46,0,0,12,0,0,0,3,3,1,1,Nibbit Turn 1: Attack 12,2,Bash,8,0,8,0,0,0,0,0,2,64,38,7.95,7.95,False,False,"[64, 38, 12, 0, 0, 0, 0, 2, 1, 3, 1, 0, 1, 3, 0, 0, 0, 1]"
1,1,64,0,38,0,0,12,0,0,2,1,3,1,0,Nibbit Turn 1: Attack 12,0,Strike,9,0,9,0,0,0,0,0,2,64,29,8.95,16.9,False,False,"[64, 29, 12, 0, 0, 0, 0, 2, 0, 2, 1, 0, 1, 3, 0, 1, 0, 1]"
2,1,64,0,29,0,0,12,0,0,2,0,2,1,0,Nibbit Turn 1: Attack 12,3,End Turn,0,0,0,12,0,0,0,0,1,52,29,-12.05,4.85,False,False,"[52, 29, 6, 5, 0, 0, 0, 1, 3, 2, 3, 0, 2, 1, 1, 0, 0, 0]"
3,2,52,0,29,0,0,6,5,0,1,3,2,3,0,Nibbit Turn 2: Attack 6 + Block 5,0,Strike,9,0,9,0,0,0,0,0,1,52,20,8.95,13.8,False,False,"[52, 20, 6, 5, 0, 0, 0, 1, 2, 1, 3, 0, 2, 1, 1, 1, 0, 0]"
4,2,52,0,20,0,0,6,5,0,1,2,1,3,0,Nibbit Turn 2: Attack 6 + Block 5,0,Strike,9,0,9,0,0,0,0,0,1,52,11,8.95,22.75,False,False,"[52, 11, 6, 5, 0, 0, 0, 1, 1, 0, 3, 0, 2, 1, 1, 2, 0, 0]"
5,2,52,0,11,0,0,6,5,0,1,1,0,3,0,Nibbit Turn 2: Attack 6 + Block 5,1,Defend,0,0,0,0,0,0,0,0,1,52,11,-0.05,22.7,False,False,"[52, 11, 6, 5, 0, 0, 0, 1, 0, 0, 2, 0, 2, 1, 1, 2, 1, 0]"
6,2,52,5,11,0,0,6,5,0,1,0,0,2,0,Nibbit Turn 2: Attack 6 + Block 5,3,End Turn,0,0,0,1,5,0,5,0,0,51,11,-1.05,21.65,False,False,"[51, 11, 0, 0, 2, 5, 0, 0, 3, 3, 1, 1, 1, 3, 0, 0, 0, 0]"
7,3,51,0,11,5,0,0,0,2,0,3,3,1,1,Nibbit Turn 3: Gain Strength 2,2,Bash,8,5,3,0,0,0,0,0,2,51,8,2.95,24.6,False,False,"[51, 8, 0, 0, 2, 0, 0, 2, 1, 3, 1, 0, 1, 3, 0, 0, 0, 1]"
8,3,51,0,8,0,0,0,0,2,2,1,3,1,0,Nibbit Turn 3: Gain Strength 2,0,Strike,9,0,9,0,0,0,0,0,2,51,0,108.95,133.55,True,True,"[51, 0, 0, 0, 2, 0, 0, 2, 0, 2, 1, 0, 1, 3, 0, 1, 0, 1]"
